metric_family,source_name,task_name,model_id,comparison_split,n_pairs,seed_count,hidden_dim_count,standard_test_n_median,comparison_test_n_median,mean_delta,median_delta,sd_delta,sem_delta,seed_t_ci95_low,seed_t_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,positive_delta_n,negative_delta_n,zero_delta_n,sign_consistency,sign_test_p,ci_available,ci_excludes_zero,uncertainty_status,direction
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,density_matched_clean,40,20,2,1265.0,123.0,0.0293128546040576,0.0286513922640487,0.019368253111175,0.0030623897064977,0.0231237650072256,0.0355019442008896,0.0234286578507067,0.0351068185021592,38,2,0,0.95,1.4933903003111482e-09,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,exact_removed,40,20,2,1265.0,882.0,0.0414879530077778,0.0413432781267047,0.0050666886613312,0.0008011138182378,0.0398689019811191,0.0431070040344364,0.03996179742769,0.0430383895821658,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,nn08_removed,40,20,2,1265.0,755.0,0.0476908236123516,0.0473513679972756,0.0069696897064941,0.0011020047028576,0.0454636721078764,0.0499179751168268,0.0456006939609812,0.0498574430030621,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,scaffold_removed,40,20,2,1265.0,719.0,0.0517180307893787,0.0506992845410378,0.0076733452858833,0.0012132624188153,0.0492660274409528,0.0541700341378045,0.0494587226745895,0.0541515890858086,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,density_matched_clean,40,20,2,1265.0,123.0,0.023165409578831,0.0239882586892322,0.0681582889186454,0.0107767717201367,0.0013855539324346,0.0449452652252273,0.0027224453224105,0.0448754807480033,25,15,0,0.625,0.1538599441628321,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,exact_removed,40,20,2,1265.0,882.0,0.0214577041387312,0.0206898356492025,0.01080617454408,0.0017086062176312,0.0180046109728984,0.0249107973045639,0.0181517150996914,0.0246904185128919,39,1,0,0.975,7.457856554538012e-11,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,nn08_removed,40,20,2,1265.0,755.0,0.0291921465298794,0.0282905339404325,0.0146896278728696,0.0023226341029281,0.0244981030078616,0.0338861900518971,0.0246213702070241,0.0336834648867655,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,scaffold_removed,40,20,2,1265.0,719.0,0.0330943194305441,0.0323682085642682,0.0174956677966714,0.002766307971157,0.0275036110208356,0.0386850278402525,0.0278040746497739,0.0384618342978745,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_transformer,density_matched_clean,40,20,2,1265.0,123.0,0.1538693819509188,0.1515928631714445,0.0466718847959217,0.0073794729324047,0.1389554671545287,0.1687832967473088,0.1394118102043606,0.1684911302815944,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_transformer,exact_removed,40,20,2,1265.0,882.0,-0.0149608785833155,-0.0140458596792566,0.0139741225385236,0.0022095027762014,-0.0194262836940186,-0.0104954734726124,-0.0193162674902136,-0.0108095875541917,6,34,0,0.85,8.364584573428147e-06,True,True,repeated_ci_available,comparison_higher
bace_tox21_sequence,moleculenet,BACE,smiles_transformer,nn08_removed,40,20,2,1265.0,755.0,-0.0387395106672615,-0.0368912724448023,0.0165174705271149,0.0026116414025192,-0.0440176379417529,-0.03346138339277,-0.0439187821714626,-0.0337739628927946,0,40,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,comparison_higher
bace_tox21_sequence,moleculenet,BACE,smiles_transformer,scaffold_removed,40,20,2,1265.0,719.0,-0.044701776428187,-0.0442763734758426,0.0171835173548253,0.0027169526527139,-0.0501927377393219,-0.039210815117052,-0.0501233568248404,-0.0395502591650182,0,40,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,comparison_higher
bace_tox21_sequence,moleculenet,Tox21,smiles_cnn,density_matched_clean,40,20,2,1452.0,100.0,0.3537969485817405,0.356797611555161,0.0843406174815239,0.0133354225253314,0.3268460596580456,0.3807478375054355,0.3277038253501557,0.3798254587533508,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,Tox21,smiles_cnn,exact_removed,40,20,2,1452.0,100.0,0.3537969485817405,0.356797611555161,0.0843406174815239,0.0133354225253314,0.3268460596580456,0.3807478375054355,0.3280216544931748,0.3792242207979234,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
bace_tox21_sequence,moleculenet,Tox21,smiles_cnn,nn08_removed,40,20,2,1452.0,56.0,0.5064273765729933,0.5220317023350594,0.1176588069041182,0.0186034908297479,0.4688297216060728,0.5440250315399138,0.4698263495657584,0.5425438374667523,40,0,0,1.0,1.8189894035458565e-12,True,True,repeated_ci_available,standard_higher
