source_name,task_name,model_id,split_name,n_runs,seeds,hidden_dims,test_n_median,auroc_mean,auroc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,exposure_delta_mean,exposure_delta_std,scaffold_exposure_delta_mean,scaffold_exposure_delta_std,nn08_exposure_delta_mean,nn08_exposure_delta_std,density_matched_delta_mean,density_matched_delta_std,split_order
moleculenet,BACE,morgan_logreg,standard,5,5,,1265.0,0.759566349274277,0.0,0.6675998383685271,0.0,0.6714211842862747,0.0,0.034702882760911,0.0,0.0259723669013531,0.0,0.0185639150134715,0.0,0.2223258120337398,2.775557561562892e-17,0
moleculenet,BACE,morgan_logreg,exact_removed,5,5,,882.0,0.724863466513366,0.0,0.6357129131000361,0.0,0.6360709712822389,0.0,0.034702882760911,0.0,0.0259723669013531,0.0,0.0185639150134715,0.0,0.2223258120337398,2.775557561562892e-17,1
moleculenet,BACE,morgan_logreg,scaffold_removed,5,5,,719.0,0.7335939823729238,0.0,0.645678077866161,0.0,0.6490513314234725,0.0,0.034702882760911,0.0,0.0259723669013531,0.0,0.0185639150134715,0.0,0.2223258120337398,2.775557561562892e-17,2
moleculenet,BACE,morgan_logreg,nn08_removed,5,5,,755.0,0.7410024342608055,0.0,0.6580304183060033,0.0,0.655283195108834,0.0,0.034702882760911,0.0,0.0259723669013531,0.0,0.0185639150134715,0.0,0.2223258120337398,2.775557561562892e-17,3
moleculenet,BACE,morgan_logreg,density_matched_clean,5,5,,123.0,0.5372405372405372,0.0,0.401583722707361,0.0,0.456959706959707,0.0,0.034702882760911,0.0,0.0259723669013531,0.0,0.0185639150134715,0.0,0.2223258120337398,2.775557561562892e-17,4
moleculenet,BACE,morgan_mlp_gpu,standard,40,20,"256,512",1265.0,0.7583169351510797,0.0040930030877693,0.6640519551743166,0.0080226644653504,0.6742491542995716,0.0042649985936031,0.0364137628706438,0.0022603595202348,0.0274803143523822,0.0026840724707229,0.0178722049011434,0.0024110158149611,0.1819585712927158,0.012835489731622,0
moleculenet,BACE,morgan_mlp_gpu,exact_removed,40,20,"256,512",882.0,0.7219031722804359,0.0049714460003436,0.6312325579916092,0.0085234456362851,0.6514925919151271,0.0047882625057968,0.0364137628706438,0.0022603595202348,0.0274803143523822,0.0026840724707229,0.0178722049011434,0.0024110158149611,0.1819585712927159,0.012835489731622,1
moleculenet,BACE,morgan_mlp_gpu,scaffold_removed,40,20,"256,512",719.0,0.7308366207986976,0.0043597492173175,0.6503627469475373,0.0079610292411454,0.6600959431111946,0.0053097045099655,0.0364137628706438,0.0022603595202348,0.0274803143523822,0.0026840724707229,0.0178722049011434,0.0024110158149611,0.1819585712927158,0.012835489731622,2
moleculenet,BACE,morgan_mlp_gpu,nn08_removed,40,20,"256,512",755.0,0.7404447302499364,0.0040395839738606,0.666185452597477,0.0073772040081085,0.6672563616292564,0.0050974252447273,0.0364137628706438,0.0022603595202348,0.0274803143523822,0.0026840724707229,0.0178722049011434,0.0024110158149611,0.1819585712927159,0.012835489731622,3
moleculenet,BACE,morgan_mlp_gpu,density_matched_clean,40,20,"256,512",123.0,0.5763583638583638,0.0155448249657779,0.3823329856101726,0.0174126389706796,0.5664835164835165,0.0189543849143936,0.0364137628706438,0.0022603595202348,0.0274803143523822,0.0026840724707229,0.0178722049011434,0.0024110158149611,0.1819585712927158,0.012835489731622,4
moleculenet,BACE,morgan_xgb,standard,5,5,,1265.0,0.7671847855436174,0.0024348891833943,0.6800645510747778,0.0061302503039077,0.6691877200222123,0.0053049914885034,0.0467468331539545,0.0039985050188842,0.0328190315399539,0.0029441672599795,0.0331178716768221,0.0043275910348299,0.2174900358488674,0.0139893260405627,0
moleculenet,BACE,morgan_xgb,exact_removed,5,5,,882.0,0.7204379523896627,0.0059949423543286,0.6350859332186249,0.0106277714802234,0.6257106274007682,0.0052712045238276,0.0467468331539545,0.0039985050188842,0.0328190315399539,0.0029441672599795,0.0331178716768221,0.0043275910348299,0.2174900358488674,0.0139893260405627,1
moleculenet,BACE,morgan_xgb,scaffold_removed,5,5,,719.0,0.7343657540036632,0.0047840076959343,0.6618792708218895,0.0085786986678156,0.6357136148029869,0.004919304846859,0.0467468331539545,0.0039985050188842,0.0328190315399539,0.0029441672599795,0.0331178716768221,0.0043275910348299,0.2174900358488674,0.0139893260405627,2
