accuracy,auprc,auroc,balanced_accuracy,clean_test_n,exact_exposed_test_n,model_backend,model_id,n,run_id,seed,source_name,split_name,task_name,task_type,test_n,train_n,primary_score,standard_score,clean_subset_score,exposure_delta,data_mode,annotation_path
0.9785714285714284,0.9960826464850804,0.5755395683453237,0.4928057553956834,140,0,sklearn_logistic_regression,morgan_logreg,140,run-1461771a100d8058,0,moleculenet,density_matched_clean,ClinTox,classification,140,1185,0.5755395683453237,0.8359406337745687,0.564935064935065,0.2710055688395038,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_ClinTox_exposure.parquet
0.9928571428571428,0.9933279926888822,0.39568345323741,0.5,140,0,sklearn_gradient_boosting_xgb_fallback,morgan_xgb,140,run-19a8d93668a41c85,0,moleculenet,density_matched_clean,ClinTox,classification,140,1185,0.39568345323741,0.7839951865222623,0.3701298701298701,0.4138653163923921,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_ClinTox_exposure.parquet
0.8823529411764706,0.9820566469793184,0.975438596491228,0.887719298245614,8,26,sklearn_logistic_regression,morgan_logreg,34,run-27b062cf60da6257,0,moleculenet,temporal_future,BBBP,classification,34,1682,0.975438596491228,0.8789062500000001,0.946341463414634,-0.0674352134146339,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_BBBP_exposure.parquet
0.9935483870967742,0.9934436641495946,0.3701298701298701,0.5,155,0,sklearn_gradient_boosting_xgb_fallback,morgan_xgb,155,run-2e0e5c37fa7929a6,0,moleculenet,exact_removed,ClinTox,classification,155,1185,0.3701298701298701,0.7839951865222623,0.3701298701298701,0.4138653163923921,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_ClinTox_exposure.parquet
0.9389830508474576,0.981225095396365,0.7839951865222623,0.5779181708784596,155,140,sklearn_gradient_boosting_xgb_fallback,morgan_xgb,295,run-36156e8b9c3e211e,0,moleculenet,standard,ClinTox,classification,295,1185,0.7839951865222623,0.7839951865222623,0.3701298701298701,0.4138653163923921,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_ClinTox_exposure.parquet
0.375,0.7291666666666666,0.625,0.375,1,7,sklearn_gradient_boosting_xgb_fallback,morgan_xgb,8,run-59f4af789fba6e9e,0,moleculenet,temporal_future,ClinTox,classification,8,694,0.625,0.7839951865222623,0.3701298701298701,0.4138653163923921,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_ClinTox_exposure.parquet
0.9220338983050848,0.9795919749383653,0.8359406337745687,0.6727837946249499,155,140,sklearn_logistic_regression,morgan_logreg,295,run-66c9e1adae695ac6,0,moleculenet,standard,ClinTox,classification,295,1185,0.8359406337745687,0.8359406337745687,0.564935064935065,0.2710055688395038,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_ClinTox_exposure.parquet
0.9741935483870968,0.996340481156569,0.564935064935065,0.4902597402597403,155,0,sklearn_logistic_regression,morgan_logreg,155,run-7b6075d5cb28267a,0,moleculenet,exact_removed,ClinTox,classification,155,1185,0.564935064935065,0.8359406337745687,0.564935064935065,0.2710055688395038,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_ClinTox_exposure.parquet
0.8480392156862745,0.9430581989881504,0.8789062500000001,0.7888621794871795,66,342,sklearn_logistic_regression,morgan_logreg,408,run-83c1e345222b561d,0,moleculenet,standard,BBBP,classification,408,1631,0.8789062500000001,0.8789062500000001,0.946341463414634,-0.0674352134146339,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_BBBP_exposure.parquet
0.875,0.9503046967367298,0.8847990117521367,0.7524038461538461,66,342,sklearn_gradient_boosting_xgb_fallback,morgan_xgb,408,run-8ae65a6a0dc2eba1,0,moleculenet,standard,BBBP,classification,408,1631,0.8847990117521367,0.8847990117521367,0.9756097560975612,-0.0908107443454243,real_chembl_chemreps_uploaded_optimized,results/benchmark_annotations/moleculenet_BBBP_exposure.parquet
