source_name,task_name,model_id,comparison_split,n_pairs,seed_count,hidden_dim_count,standard_test_n_median,comparison_test_n_median,mean_rmse_delta,median_rmse_delta,bootstrap_rmse_ci95_low,bootstrap_rmse_ci95_high,mean_mae_delta,bootstrap_mae_ci95_low,bootstrap_mae_ci95_high,positive_rmse_delta_n,negative_rmse_delta_n,sign_consistency,sign_test_p,ci_excludes_zero,direction
moleculenet,ESOL,smiles_cnn,density_matched_clean,40,20,2,226.0,43.0,0.1367800444368593,0.1368111410111362,0.127630356002763,0.1457949622559259,0.0844638200472401,0.0749063808497902,0.0943211920206653,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_cnn,exact_removed,40,20,2,226.0,43.0,0.1367800444368593,0.1368111410111362,0.1277794529719314,0.1457996439531473,0.0844638200472401,0.0749025004468786,0.0943688495936187,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_cnn,nn06_removed,40,20,2,226.0,28.0,0.0679783935671432,0.0797373448518278,0.0427938329456838,0.0921884615378431,0.0720271822167634,0.0539206050346634,0.0895605246724854,31,9,0.775,0.0006795482549932,True,comparison_higher_error
moleculenet,ESOL,smiles_cnn,nn07_removed,40,20,2,226.0,32.0,0.1360205977449728,0.1465622513507798,0.1186424795706609,0.1525374604651234,0.1131203572779168,0.0981245530176151,0.1279519117173617,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_cnn,nn08_removed,40,20,2,226.0,39.0,0.1721808147437185,0.1715641603719018,0.1623283510982986,0.1823941379626889,0.1117879982525188,0.1011102321201382,0.122747266488616,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_cnn,nn09_removed,40,20,2,226.0,39.0,0.1721808147437185,0.1715641603719018,0.1618556027163592,0.1822212102481902,0.1117879982525188,0.1012154904697521,0.1230197033962727,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_cnn,scaffold_removed,40,20,2,226.0,86.0,0.0037480176395205,0.0057780692946136,-0.0054999056450484,0.0126384624480057,-0.0195328978060842,-0.0310183595676437,-0.0082155519236058,23,17,0.575,0.4295905078433861,False,comparison_higher_error
moleculenet,ESOL,smiles_cnn,temporal_future,40,20,2,226.0,20.0,-0.0878820070451287,-0.0819832814392788,-0.1074451970560488,-0.0685605451087724,-0.0530070043423007,-0.0697918616375989,-0.0355216902754273,2,38,0.95,1.4933903003111482e-09,True,standard_higher_error
moleculenet,ESOL,smiles_gru,density_matched_clean,40,20,2,226.0,43.0,0.1071372381841815,0.1039936127033815,0.0920856525327345,0.1223616045993561,0.0735704391808783,0.0617802720683177,0.0856297471886085,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_gru,exact_removed,40,20,2,226.0,43.0,0.1071372381841815,0.1039936127033815,0.0917276383321368,0.1227700203270373,0.0735704391808783,0.0617695262657447,0.0854585710905881,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_gru,nn06_removed,40,20,2,226.0,28.0,0.1445137412200188,0.1356933227782856,0.1245290203624949,0.1645996745714049,0.0960382347677812,0.0819853719178632,0.1101300620261607,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_gru,nn07_removed,40,20,2,226.0,32.0,0.119030424307874,0.1167787412070125,0.101166271029664,0.1382392174392533,0.0776818567509474,0.0645340356729218,0.0909193831715725,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_gru,nn08_removed,40,20,2,226.0,39.0,0.1194107024330746,0.1210425020940726,0.1015014881343742,0.1375357839068474,0.0786273317380424,0.0649488559220136,0.0930155469672975,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_gru,nn09_removed,40,20,2,226.0,39.0,0.1194107024330746,0.1210425020940726,0.101675638060208,0.1377957744428114,0.0786273317380424,0.0648568598939535,0.0930229358095518,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_gru,scaffold_removed,40,20,2,226.0,86.0,-0.0826796757854188,-0.085041370735558,-0.0953975411588511,-0.0697154053938287,-0.0977906504304523,-0.1058397961486144,-0.0899878174797852,1,39,0.975,7.457856554538012e-11,True,standard_higher_error
moleculenet,ESOL,smiles_gru,temporal_future,40,20,2,226.0,20.0,0.1144233180605335,0.1142933757074067,0.0897133107966159,0.1395521226616163,0.1387899262541058,0.1215074101957982,0.1567822575099695,38,2,0.95,1.4933903003111482e-09,True,comparison_higher_error
moleculenet,ESOL,smiles_transformer,density_matched_clean,40,20,2,226.0,43.0,0.1252933291003856,0.1320074999611205,0.1059452937001753,0.1446427240913289,0.0751363486484825,0.0628515268764249,0.0876819059049002,39,1,0.975,7.457856554538012e-11,True,comparison_higher_error
moleculenet,ESOL,smiles_transformer,exact_removed,40,20,2,226.0,43.0,0.1252933291003856,0.1320074999611205,0.1057711732997118,0.1449804253649187,0.0751363486484825,0.0630605035341654,0.0874733134094663,39,1,0.975,7.457856554538012e-11,True,comparison_higher_error
moleculenet,ESOL,smiles_transformer,nn06_removed,40,20,2,226.0,28.0,0.2481483068333169,0.2586347339136765,0.2232604171941836,0.2727210663263002,0.1624033004860736,0.1447356229864513,0.1802128370439208,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_transformer,nn07_removed,40,20,2,226.0,32.0,0.2016614330076678,0.2172231955734606,0.1794635781076446,0.2236345569378148,0.1281566984272372,0.1140267417995828,0.1421837156231482,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_transformer,nn08_removed,40,20,2,226.0,39.0,0.1559742590087192,0.1637426736561963,0.1358634023104672,0.1763531686332931,0.1025683226689531,0.0890365356102163,0.1162135303279784,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_transformer,nn09_removed,40,20,2,226.0,39.0,0.1559742590087192,0.1637426736561963,0.1357960545735725,0.1759986979870864,0.1025683226689531,0.0885639179854946,0.1159217184372998,40,0,1.0,1.8189894035458565e-12,True,comparison_higher_error
moleculenet,ESOL,smiles_transformer,scaffold_removed,40,20,2,226.0,86.0,-0.0100664662667017,-0.0092459736651008,-0.0226198408066377,0.0028005781380755,-0.0206877955788004,-0.0291660861970981,-0.0124316373761003,17,23,0.575,0.4295905078433861,False,standard_higher_error
moleculenet,ESOL,smiles_transformer,temporal_future,40,20,2,226.0,20.0,-0.0494014704329711,-0.0704753467204299,-0.0802047745856089,-0.0188076104695799,0.0121513713783393,-0.0124023829279392,0.0377573868321619,14,26,0.65,0.0806904677519924,True,standard_higher_error
