fm_model_id,source_name,task_name,split_name,head_model,seeds,median_test_n,auroc_mean,auroc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,valid_metric_value_count,metric_status,wrapper_scope_note,source_table
molformer_xl_10pct,chembl_bioactivity,CYP1A2_pchembl5_temporal,density_matched_clean,logistic_regression,20,31.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP1A2_pchembl5_temporal,exact_removed,logistic_regression,20,31.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP1A2_pchembl5_temporal,nn08_removed,logistic_regression,20,25.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP1A2_pchembl5_temporal,scaffold_removed,logistic_regression,20,28.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP1A2_pchembl5_temporal,standard,logistic_regression,20,1200.0,0.5,0.0,0.9825000000000002,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP1A2_pchembl5_temporal,temporal_future,logistic_regression,20,161.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C19_pchembl5_temporal,density_matched_clean,logistic_regression,20,19.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C19_pchembl5_temporal,exact_removed,logistic_regression,20,19.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C19_pchembl5_temporal,nn08_removed,logistic_regression,20,16.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C19_pchembl5_temporal,scaffold_removed,logistic_regression,20,25.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C19_pchembl5_temporal,standard,logistic_regression,20,1200.0,0.5,0.0,0.8299999999999998,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C19_pchembl5_temporal,temporal_future,logistic_regression,20,79.0,0.5,0.0,0.9873417721518988,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C9_pchembl5_temporal,density_matched_clean,logistic_regression,20,35.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C9_pchembl5_temporal,exact_removed,logistic_regression,20,35.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C9_pchembl5_temporal,nn08_removed,logistic_regression,20,29.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C9_pchembl5_temporal,scaffold_removed,logistic_regression,20,38.0,0.5,0.0,0.9210526315789472,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2C9_pchembl5_temporal,standard,logistic_regression,20,1200.0,0.5,0.0,0.8474999999999999,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2D6_pchembl5_temporal,density_matched_clean,logistic_regression,20,49.0,0.5,0.0,0.9183673469387756,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2D6_pchembl5_temporal,exact_removed,logistic_regression,20,49.0,0.5,0.0,0.9183673469387756,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2D6_pchembl5_temporal,nn08_removed,logistic_regression,20,34.0,0.5,0.0,0.8823529411764707,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2D6_pchembl5_temporal,scaffold_removed,logistic_regression,20,40.0,0.5,0.0,0.875,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP2D6_pchembl5_temporal,standard,logistic_regression,20,1200.0,0.5,0.0,0.7666666666666667,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP3A4_pchembl5_temporal,density_matched_clean,logistic_regression,20,22.0,0.5,0.0,0.8636363636363636,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP3A4_pchembl5_temporal,exact_removed,logistic_regression,20,22.0,0.5,0.0,0.8636363636363636,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP3A4_pchembl5_temporal,nn08_removed,logistic_regression,20,14.0,0.5,0.0,0.9285714285714286,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP3A4_pchembl5_temporal,scaffold_removed,logistic_regression,20,24.0,0.5,0.0,0.8333333333333334,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,CYP3A4_pchembl5_temporal,standard,logistic_regression,20,1200.0,0.5,0.0,0.72,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,hERG_pchembl5_temporal,density_matched_clean,logistic_regression,20,224.0,0.5,0.0,0.8303571428571429,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,hERG_pchembl5_temporal,exact_removed,logistic_regression,20,224.0,0.5,0.0,0.8303571428571429,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,hERG_pchembl5_temporal,nn08_removed,logistic_regression,20,165.0,0.5,0.0,0.8242424242424242,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,hERG_pchembl5_temporal,scaffold_removed,logistic_regression,20,165.0,0.5,0.0,0.8242424242424242,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,chembl_bioactivity,hERG_pchembl5_temporal,standard,logistic_regression,20,1200.0,0.5,0.0,0.9200000000000002,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,moleculenet,BACE,density_matched_clean,logistic_regression,20,41.0,,,,,1.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,moleculenet,BACE,exact_removed,logistic_regression,20,223.0,,,,,1.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,moleculenet,BACE,nn08_removed,logistic_regression,20,176.0,,,,,1.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,moleculenet,BACE,scaffold_removed,logistic_regression,20,169.0,,,,,1.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,moleculenet,BACE,standard,logistic_regression,20,303.0,,,,,1.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,moleculenet,BBBP,density_matched_clean,logistic_regression,20,38.0,0.5,0.0,0.4473684210526316,0.0,0.5,0.0,,,,,,,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
molformer_xl_10pct,moleculenet,BBBP,exact_removed,logistic_regression,20,50.0,,,,,0.0,0.0,,,,,,,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/fm_embedding_summary.csv
