metric_family,source_name,task_name,model_id,comparison_split,n_pairs,seed_count,hidden_dim_count,standard_test_n_median,comparison_test_n_median,mean_delta,median_delta,sd_delta,sem_delta,seed_t_ci95_low,seed_t_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,positive_delta_n,negative_delta_n,zero_delta_n,sign_consistency,sign_test_p,ci_excludes_zero,direction,model_order
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,density_matched_clean,5,5,1,1265.0,123.0,0.2223258120337398,0.2223258120337398,3.103167691559092e-17,1.3877787807814457e-17,0.2223258120337398,0.2223258120337398,0.2223258120337398,0.2223258120337398,5,0,0,1.0,0.0625,True,standard_higher,0
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,exact_removed,5,5,1,1265.0,882.0,0.034702882760911,0.034702882760911,0.0,0.0,0.034702882760911,0.034702882760911,0.034702882760911,0.034702882760911,5,0,0,1.0,0.0625,True,standard_higher,0
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,nn08_removed,5,5,1,1265.0,755.0,0.0185639150134715,0.0185639150134715,0.0,0.0,0.0185639150134715,0.0185639150134715,0.0185639150134715,0.0185639150134715,5,0,0,1.0,0.0625,True,standard_higher,0
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,scaffold_removed,5,5,1,1265.0,719.0,0.0259723669013531,0.0259723669013531,0.0,0.0,0.0259723669013531,0.0259723669013531,0.0259723669013531,0.0259723669013531,5,0,0,1.0,0.0625,True,standard_higher,0
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,density_matched_clean,40,20,2,1265.0,123.0,0.1819585712927159,0.1795168978757296,0.0129990057470118,0.0020553232739087,0.1778047629561462,0.1861123796292856,0.1781025419199097,0.1860122848654011,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,exact_removed,40,20,2,1265.0,882.0,0.0364137628706439,0.0368457460262113,0.0022891550699042,0.0003619471969109,0.0356822675856868,0.0371452581556009,0.0357094351991519,0.0371221493631146,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,nn08_removed,40,20,2,1265.0,755.0,0.0178722049011435,0.0177229467183283,0.0024417306304724,0.0003860715112445,0.0170919543769181,0.0186524554253688,0.0171239915194252,0.0186240833028247,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,scaffold_removed,40,20,2,1265.0,719.0,0.0274803143523822,0.0273614247014108,0.0027182658552066,0.0004297955694159,0.0266116975065926,0.0283489311981718,0.026642209735391,0.0283015659578113,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,density_matched_clean,5,5,1,1265.0,123.0,0.2174900358488675,0.2160913186643367,0.0156405419930531,0.0069946630202813,0.1980728513045663,0.2369072203931687,0.2054378707368971,0.2295422009608379,5,0,0,1.0,0.0625,True,standard_higher,1
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,exact_removed,5,5,1,1265.0,882.0,0.0467468331539545,0.0492881169812017,0.0044704645152996,0.0019992525094421,0.0411969081877432,0.0522967581201659,0.0429202892787459,0.0500021739239241,5,0,0,1.0,0.0625,True,standard_higher,1
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,nn08_removed,5,5,1,1265.0,755.0,0.0331178716768222,0.033331309254426,0.0048383938663491,0.0021637955174149,0.0271111753204783,0.0391245680331661,0.0294194108865887,0.0368163324670557,5,0,0,1.0,0.0625,True,standard_higher,1
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,scaffold_removed,5,5,1,1265.0,719.0,0.032819031539954,0.0316550263963064,0.0032916790652218,0.0014720836299897,0.0287325273831023,0.0369055356968057,0.030584061511772,0.0355062894182653,5,0,0,1.0,0.0625,True,standard_higher,1
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_logreg,density_matched_clean,5,5,1,1452.0,100.0,-0.0190291980493528,-0.0190291980493528,0.0,0.0,-0.0190291980493528,-0.0190291980493528,-0.0190291980493528,-0.0190291980493528,0,5,0,1.0,0.0625,True,comparison_higher,0
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_logreg,exact_removed,5,5,1,1452.0,100.0,-0.0190291980493528,-0.0190291980493528,0.0,0.0,-0.0190291980493528,-0.0190291980493528,-0.0190291980493528,-0.0190291980493528,0,5,0,1.0,0.0625,True,comparison_higher,0
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_logreg,nn08_removed,5,5,1,1452.0,56.0,0.1286746444998504,0.1286746444998504,0.0,0.0,0.1286746444998504,0.1286746444998504,0.1286746444998504,0.1286746444998504,5,0,0,1.0,0.0625,True,standard_higher,0
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_logreg,scaffold_removed,5,5,1,1452.0,379.0,0.2238618102752516,0.2238618102752516,0.0,0.0,0.2238618102752516,0.2238618102752516,0.2238618102752516,0.2238618102752516,5,0,0,1.0,0.0625,True,standard_higher,0
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_mlp_gpu,density_matched_clean,40,20,2,1452.0,100.0,0.4606983097834732,0.4560419922050398,0.0294322298820678,0.0046536441522501,0.4512932949517756,0.4701033246151708,0.4519053855874152,0.469686188981865,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_mlp_gpu,exact_removed,40,20,2,1452.0,100.0,0.4606983097834732,0.4560419922050398,0.0294322298820678,0.0046536441522501,0.4512932949517756,0.4701033246151708,0.4515775910817716,0.4697555197328332,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_mlp_gpu,nn08_removed,40,20,2,1452.0,56.0,0.5028406090649475,0.4963761762242283,0.0280142015299471,0.0044294341832803,0.493888722580538,0.5117924955493571,0.4943781288421692,0.5114730148078119,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_mlp_gpu,scaffold_removed,40,20,2,1452.0,379.0,0.0127002347333968,0.0088648487134397,0.028141663240438,0.0044495876492609,0.0037076180942404,0.0216928513725532,0.0049823654338541,0.0220810747315325,27,13,0,0.675,0.0384773082842002,True,standard_higher,2
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,density_matched_clean,5,5,1,1452.0,100.0,0.0230822811025819,0.0300235581925129,0.0261374992609196,0.0116890450218533,-0.0093665078780829,0.0555310700832469,0.0033057571200901,0.0428588050850738,3,2,0,0.6,1.0,True,standard_higher,1
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,exact_removed,5,5,1,1452.0,100.0,0.0230822811025819,0.0300235581925129,0.0261374992609196,0.0116890450218533,-0.0093665078780829,0.0555310700832469,0.0033057571200901,0.0428588050850738,3,2,0,0.6,1.0,True,standard_higher,1
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,nn08_removed,5,5,1,1452.0,56.0,0.0782775325864932,0.0616995429808621,0.0970574639897121,0.0434054174409468,-0.0422159062295752,0.1987709714025617,0.0052495971079946,0.1535089566933955,4,1,0,0.8,0.375,True,standard_higher,1
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,scaffold_removed,5,5,1,1452.0,379.0,0.2468871582549423,0.2496674574193647,0.0297762296770371,0.0133163347343003,0.2099210130325246,0.28385330347736,0.2248165425887031,0.2706423134429206,5,0,0,1.0,0.0625,True,standard_higher,1
bbbp_clintox_model_family,moleculenet,BBBP,morgan_logreg,density_matched_clean,1,1,1,408.0,38.0,-0.0538668592436974,-0.0538668592436974,0.0,0.0,-0.0538668592436974,-0.0538668592436974,-0.0538668592436974,-0.0538668592436974,0,1,0,1.0,1.0,True,comparison_higher,0
bbbp_clintox_model_family,moleculenet,BBBP,morgan_logreg,exact_removed,1,1,1,408.0,66.0,-0.0674352134146338,-0.0674352134146338,0.0,0.0,-0.0674352134146338,-0.0674352134146338,-0.0674352134146338,-0.0674352134146338,0,1,0,1.0,1.0,True,comparison_higher,0
bbbp_clintox_model_family,moleculenet,BBBP,morgan_xgb,density_matched_clean,1,1,1,408.0,38.0,-0.0759853019733532,-0.0759853019733532,0.0,0.0,-0.0759853019733532,-0.0759853019733532,-0.0759853019733532,-0.0759853019733532,0,1,0,1.0,1.0,True,comparison_higher,1
bbbp_clintox_model_family,moleculenet,BBBP,morgan_xgb,exact_removed,1,1,1,408.0,66.0,-0.0908107443454244,-0.0908107443454244,0.0,0.0,-0.0908107443454244,-0.0908107443454244,-0.0908107443454244,-0.0908107443454244,0,1,0,1.0,1.0,True,comparison_higher,1
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,density_matched_clean,40,20,2,408.0,38.0,-0.025515678026018,-0.0258719272965595,0.0106972096742984,0.0016913773589585,-0.0289339516684733,-0.0220974043835628,-0.0287514795205942,-0.0221831871645893,0,40,0,1.0,1.8189894035458565e-12,True,comparison_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,exact_removed,40,20,2,408.0,66.0,-0.03554150299015,-0.0336720215759849,0.0077293032247304,0.0012221101458116,-0.0380113875948353,-0.0330716183854648,-0.0379710956330942,-0.0333030424593984,0,40,0,1.0,1.8189894035458565e-12,True,comparison_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,nn08_removed,40,20,2,408.0,47.0,-0.0325922030804843,-0.0320334757834757,0.0102494373511815,0.0016205783382468,-0.0358673919020811,-0.0293170142588874,-0.0357495054587339,-0.0295065229366987,0,40,0,1.0,1.8189894035458565e-12,True,comparison_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,scaffold_removed,40,20,2,408.0,49.0,0.0508622128739316,0.052600827991453,0.0215037432806559,0.0034000403493207,0.0439907313279544,0.0577336944199087,0.0442222660423344,0.0573572925013354,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,density_matched_clean,40,20,2,408.0,38.0,-0.0502492047500089,-0.0548066682602528,0.0265668209083673,0.0042005832130112,-0.0587385834235046,-0.0417598260765133,-0.0580618230239812,-0.0416282650630364,2,38,0,0.95,1.4933903003111482e-09,True,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,exact_removed,40,20,2,408.0,66.0,-0.0611197383292943,-0.0652991860146965,0.0172206479526119,0.0027228235157084,-0.0666225646545411,-0.0556169120040475,-0.0664390931079157,-0.0557701760621872,0,40,0,1.0,1.8189894035458565e-12,True,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,nn08_removed,40,20,2,408.0,47.0,-0.0584671863871082,-0.0634014423076923,0.0193425057627317,0.0030583186932582,-0.0646480484661831,-0.0522863243080333,-0.064400721710292,-0.0526019360142894,0,40,0,1.0,1.8189894035458565e-12,True,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,scaffold_removed,40,20,2,408.0,49.0,-0.0191260182959401,-0.0188468215811966,0.0317239087344751,0.0050159903942125,-0.0292633348826437,-0.0089887017092365,-0.0287993602263621,-0.0092698212974091,11,29,0,0.725,0.0064265760956914,True,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,density_matched_clean,40,20,2,408.0,38.0,-0.0643646185437315,-0.0621554010225884,0.0372526274420772,0.0058901575771328,-0.0762686270071169,-0.0524606100803461,-0.075461560976554,-0.0528066587211807,2,38,0,0.95,1.4933903003111482e-09,True,comparison_higher,5
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,exact_removed,40,20,2,408.0,66.0,-0.0605832767387169,-0.061321871091307,0.0267749592653477,0.0042334927768363,-0.0691391656407032,-0.0520273878367306,-0.0686566403298122,-0.0522301844434835,1,39,0,0.975,7.457856554538012e-11,True,comparison_higher,5
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,nn08_removed,40,20,2,408.0,47.0,-0.0595698395210113,-0.0619190705128204,0.0323311955295418,0.0051120108674803,-0.069901213484189,-0.0492384655578337,-0.0693471985732727,-0.0494632516192574,1,39,0,0.975,7.457856554538012e-11,True,comparison_higher,5
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,scaffold_removed,40,20,2,408.0,49.0,-0.0160210503472222,-0.0253405448717948,0.0479615063115191,0.007583379997847,-0.0313470613228711,-0.0006950393715732,-0.0305093670706463,-0.0004685934995993,14,26,0,0.65,0.0806904677519924,True,comparison_higher,5
bbbp_clintox_model_family,moleculenet,ClinTox,morgan_logreg,density_matched_clean,1,1,1,295.0,140.0,0.260401065429245,0.260401065429245,0.0,0.0,0.260401065429245,0.260401065429245,0.260401065429245,0.260401065429245,1,0,0,1.0,1.0,True,standard_higher,0
bbbp_clintox_model_family,moleculenet,ClinTox,morgan_logreg,exact_removed,1,1,1,295.0,155.0,0.2710055688395038,0.2710055688395038,0.0,0.0,0.2710055688395038,0.2710055688395038,0.2710055688395038,0.2710055688395038,1,0,0,1.0,1.0,True,standard_higher,0
bbbp_clintox_model_family,moleculenet,ClinTox,morgan_xgb,density_matched_clean,1,1,1,295.0,140.0,0.3883117332848523,0.3883117332848523,0.0,0.0,0.3883117332848523,0.3883117332848523,0.3883117332848523,0.3883117332848523,1,0,0,1.0,1.0,True,standard_higher,1
bbbp_clintox_model_family,moleculenet,ClinTox,morgan_xgb,exact_removed,1,1,1,295.0,155.0,0.4138653163923922,0.4138653163923922,0.0,0.0,0.4138653163923922,0.4138653163923922,0.4138653163923922,0.4138653163923922,1,0,0,1.0,1.0,True,standard_higher,1
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,density_matched_clean,40,20,2,295.0,140.0,-0.0343004477284598,-0.0358817639029569,0.0163924882660017,0.0025918799719074,-0.0395386371516848,-0.0290622583052348,-0.0391697706816496,-0.0292735743715496,1,39,0,0.975,7.457856554538012e-11,True,comparison_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,exact_removed,40,20,2,295.0,155.0,-0.0153314670688317,-0.0144990388672698,0.0197895181184339,0.003128997552571,-0.0216551711225778,-0.0090077630150856,-0.021377502298644,-0.0092007955066393,7,33,0,0.825,4.2277022657799534e-05,True,comparison_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,nn08_removed,40,20,2,295.0,114.0,-0.024419502926779,-0.0216624247006661,0.0221649479005662,0.0035045859792378,-0.0315022711908187,-0.0173367346627393,-0.0312134751640877,-0.0175922133966255,5,35,0,0.875,1.382612026645802e-06,True,comparison_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,scaffold_removed,40,20,2,295.0,75.0,0.0215436441213479,0.0225906510833071,0.0288138188153665,0.0045558647771986,0.0123362414066295,0.0307510468360664,0.0125898251405304,0.0305383180782904,32,8,0,0.8,0.0001821658297558,True,standard_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,density_matched_clean,40,20,2,295.0,140.0,-0.0278422388443036,-0.0645620687565471,0.0783410879761412,0.0123868136190118,-0.0528759891683265,-0.0028084885202806,-0.0499086430314232,-0.0024886002750147,11,29,0,0.725,0.0064265760956914,True,comparison_higher,4
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,exact_removed,40,20,2,295.0,155.0,-0.0175413886153958,-0.0528818353728101,0.0818747825194276,0.0129455397846165,-0.0437043245201058,0.0086215472893141,-0.0405853964151573,0.0086813532436275,12,28,0,0.7,0.0165890033749747,False,comparison_higher,4
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,nn08_removed,40,20,2,295.0,114.0,-0.0324850732493459,-0.058126470932771,0.0774166852513119,0.0122406527147255,-0.0572234323858062,-0.0077467141128856,-0.0544777096001548,-0.0071643172786457,10,30,0,0.75,0.0022214337732293,True,comparison_higher,4
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,scaffold_removed,40,20,2,295.0,75.0,0.0013720609487386,-0.0132549220007802,0.0720770840697125,0.0113963876381865,-0.0216600384680362,0.0244041603655136,-0.0196765335061459,0.0251466237313793,17,23,0,0.575,0.4295905078433861,False,standard_higher,4
