source_name,task_name,model_id,split_name,hidden_dim,seeds,test_n,auroc_mean,auroc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,exposure_delta_mean,exposure_delta_std,scaffold_exposure_delta_mean,scaffold_exposure_delta_std,nn06_exposure_delta_mean,nn06_exposure_delta_std,nn07_exposure_delta_mean,nn07_exposure_delta_std,nn08_exposure_delta_mean,nn08_exposure_delta_std,nn09_exposure_delta_mean,nn09_exposure_delta_std,density_matched_delta_mean,density_matched_delta_std,temporal_drop_mean,temporal_drop_std,runtime_sec_mean,runtime_sec_std,source_output_dir
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,density_matched_clean,128,10,224,0.908906338426712,0.0233925365508737,0.9698718711371028,0.0099081227108512,0.8397425014148274,0.0142732244239347,,,,,,,,,,,,,,,,,378.3718,7.4086542475674975,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu2_hERG_smiles_transformer_nn08_removed_density_matched_clean_temporal_future
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,density_matched_clean,256,10,224,0.9049377475947932,0.0183301741024897,0.9700520365287468,0.0075896680956524,0.8355829088851161,0.0204376162937982,,,,,,,,,,,,,,,,,382.3744,3.416668061137924,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu2_hERG_smiles_transformer_nn08_removed_density_matched_clean_temporal_future
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,nn08_removed,128,10,165,0.883405172413793,0.0288439414324106,0.9599887810826604,0.0129745439859678,0.8075304259634889,0.0160978899505543,,,,,,,,,,,,,,,,,379.3008,8.44494319459877,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu2_hERG_smiles_transformer_nn08_removed_density_matched_clean_temporal_future
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,nn08_removed,256,10,165,0.8810218052738337,0.0186711635684989,0.9612992218113814,0.0079131952637862,0.8108392494929006,0.0250886398972125,,,,,,,,,,,,,,,,,381.1319,5.097297783139616,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu2_hERG_smiles_transformer_nn08_removed_density_matched_clean_temporal_future
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,temporal_future,128,10,1146,0.5803047236291566,0.0558608661700864,0.8680530025766343,0.0235677173269783,0.5139286500770754,0.0202629287687198,,,,,,,,,,,,,,,,,381.6222,10.050315525395211,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu2_hERG_smiles_transformer_nn08_removed_density_matched_clean_temporal_future
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,temporal_future,256,10,1146,0.5819103721647215,0.0667016589450615,0.8680359284786465,0.0315542592079296,0.5257691037216472,0.0220802277395017,,,,,,,,,,,,,,,,,388.3759,2.091928892194943,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu2_hERG_smiles_transformer_nn08_removed_density_matched_clean_temporal_future
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,exact_removed,128,10,224,0.908906338426712,0.0233925365508737,0.9698718711371028,0.0099081227108512,0.8397425014148274,0.0142732244239347,-0.0752573914158423,0.0233541433450491,-0.0497562254029235,0.0267545012927465,,,,,,,,,,,,,242.7421,132.54719328258142,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu1_hERG_smiles_transformer_standard_exact_removed_scaffold_removed
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,exact_removed,256,10,224,0.9049377475947932,0.0183301741024897,0.9700520365287468,0.0075896680956524,0.8355829088851161,0.0204376162937982,-0.064640627274745,0.0170991555002859,-0.0407246849537853,0.0157239982077441,,,,,,,,,,,,,373.20020000000005,2.793743109163765,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu1_hERG_smiles_transformer_standard_exact_removed_scaffold_removed
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,scaffold_removed,128,10,165,0.883405172413793,0.0288439414324106,0.9599887810826604,0.0129745439859678,0.8075304259634889,0.0160978899505543,-0.0752573914158423,0.0233541433450491,-0.0497562254029235,0.0267545012927465,,,,,,,,,,,,,230.5317,138.36709733318105,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu1_hERG_smiles_transformer_standard_exact_removed_scaffold_removed
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,scaffold_removed,256,10,165,0.8810218052738337,0.0186711635684989,0.9612992218113814,0.0079131952637862,0.8108392494929006,0.0250886398972125,-0.064640627274745,0.0170991555002859,-0.0407246849537853,0.0157239982077441,,,,,,,,,,,,,345.7178,86.79374179605347,/mnt/data1/zetyun/MolTrustBench/runs/endpoint_temporal_transformer_gpu1_7_20260527T075857Z/gpu1_hERG_smiles_transformer_standard_exact_removed_scaffold_removed
