source_name,task_name,model_id,split_name,hidden_dim,n_runs,seeds,auroc_mean,auroc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,runtime_sec_mean,runtime_sec_std,test_n_mean,test_n_std
moleculenet,BACE,smiles_cnn,density_matched_clean,128,20,20,0.7206425518925517,0.0205564763514432,0.4989721845897396,0.0414053460774923,0.6545100732600734,0.0169657995399561,12.8281,3.506134722169129,123.0,0.0
moleculenet,BACE,smiles_cnn,density_matched_clean,256,20,20,0.7283577533577534,0.0207143653329125,0.5068419416388651,0.0452445383054981,0.6510302197802198,0.0181709506599423,9.0392,2.3055807207729684,123.0,0.0
moleculenet,BACE,smiles_cnn,exact_removed,128,20,20,0.7177048002299511,0.0118411373728703,0.6100742697832591,0.0230837513734816,0.6227501371867569,0.0146459987428853,12.9083,3.413520354414193,882.0,0.0
moleculenet,BACE,smiles_cnn,exact_removed,256,20,20,0.7069453082129138,0.012436243097218,0.5930632465343824,0.0211551474504116,0.6240195719773184,0.0115176705150086,8.2576,2.2096704595934664,882.0,0.0
moleculenet,BACE,smiles_cnn,nn08_removed,128,20,20,0.712934664156925,0.0124911145713986,0.6214693671003966,0.0216588044114945,0.616275757875966,0.015671021618965,12.4672,3.6498634714191702,755.0,0.0
moleculenet,BACE,smiles_cnn,nn08_removed,256,20,20,0.6993097030767925,0.0129696751885173,0.6014479649897744,0.0202983248211291,0.6185948512553426,0.0119856741771107,9.1299,2.277457878864064,755.0,0.0
moleculenet,BACE,smiles_cnn,scaffold_removed,128,20,20,0.7094465708605331,0.013108341187797,0.6103727167148584,0.0227870029231787,0.6126733746614692,0.0156799883054091,12.6604,3.446407280052664,719.0,0.0
moleculenet,BACE,smiles_cnn,scaffold_removed,256,20,20,0.6947433820191298,0.0139815926572175,0.58845918071181,0.0223705317722779,0.6156782745503216,0.0120553920430103,8.68285,2.198989706092323,719.0,0.0
moleculenet,BACE,smiles_cnn,standard,128,20,20,0.7575985037215913,0.0096045845351721,0.6455432817814212,0.0161768616361418,0.6340500771829005,0.0160384985496998,13.1889,3.3800819353974245,1265.0,0.0
moleculenet,BACE,smiles_cnn,standard,256,20,20,0.7500275107368293,0.0095682337342838,0.6353148620882099,0.0136344333007758,0.6341203187169808,0.0124455992119302,9.0149,2.2135522108141026,1265.0,0.0
moleculenet,BACE,smiles_gru,density_matched_clean,128,20,20,0.6551434676434676,0.0733019775479675,0.4467385324671794,0.0624186374824988,0.5984890109890111,0.0697763589781167,38.7333,10.338678368631069,123.0,0.0
moleculenet,BACE,smiles_gru,density_matched_clean,256,20,20,0.6581349206349206,0.0753929463318746,0.4152455204176504,0.0586607769708971,0.6335164835164836,0.0604600919727781,32.5786,4.371793023463027,123.0,0.0
moleculenet,BACE,smiles_gru,exact_removed,128,20,20,0.6574032506728684,0.0212889857850956,0.5618045906787644,0.028415235755915,0.6023193707700749,0.0225714553984916,39.78170000000001,11.155147417672255,882.0,0.0
moleculenet,BACE,smiles_gru,exact_removed,256,20,20,0.6592905484857194,0.0297974544610597,0.5642489123137471,0.0333607113816863,0.6110929211633438,0.0264364068653117,31.983100000000007,4.850400673140313,882.0,0.0
moleculenet,BACE,smiles_gru,nn08_removed,128,20,20,0.6487798621529055,0.0229634134244022,0.5723524350310555,0.0300191340884803,0.594523974638399,0.0207132333113936,38.9787,10.874663061906793,755.0,0.0
moleculenet,BACE,smiles_gru,nn08_removed,256,20,20,0.6524450522233858,0.0313100580583345,0.5794546363483665,0.0345250791397933,0.5999688641059753,0.0269219963037811,32.7208,4.309910029223348,755.0,0.0
moleculenet,BACE,smiles_gru,scaffold_removed,128,20,20,0.6435800497816184,0.0253464958696011,0.5614730261669236,0.030772004734697,0.5927529000140891,0.0222503033034546,39.3223,10.967226240485786,719.0,0.0
moleculenet,BACE,smiles_gru,scaffold_removed,256,20,20,0.6498405187933437,0.0333643666920685,0.5710391755850446,0.0361400899431605,0.5989730584386106,0.0282006508860878,31.71395,3.6560296289144047,719.0,0.0
moleculenet,BACE,smiles_gru,standard,128,20,20,0.6811490954571621,0.0188438884134925,0.5833648419162497,0.0234537017143423,0.6169853963838664,0.0193013320365074,39.78509999999999,10.61891481696694,1265.0,0.0
moleculenet,BACE,smiles_gru,standard,256,20,20,0.6784601119788881,0.0226585489252853,0.5797523733582007,0.0309584975150296,0.6216509498846079,0.0196284163339358,32.049049999999994,4.074801191162583,1265.0,0.0
moleculenet,BACE,smiles_transformer,density_matched_clean,128,20,20,0.5440094627594628,0.048379868904147,0.3317806877414077,0.0291899947123071,0.5535943223443225,0.0606078166013293,14.5302,2.931729158704808,123.0,0.0
moleculenet,BACE,smiles_transformer,density_matched_clean,256,20,20,0.5156746031746031,0.0486748412515709,0.3148337908748492,0.0271560546310966,0.5340888278388278,0.0609389876900323,13.9594,3.0507063018258576,123.0,0.0
moleculenet,BACE,smiles_transformer,exact_removed,128,20,20,0.6973848284512268,0.0178516015575982,0.5987209436669991,0.0224487546767543,0.6234159502469361,0.0252181639058717,15.0856,2.9081773054612747,882.0,0.0
moleculenet,BACE,smiles_transformer,exact_removed,256,20,20,0.6999597585513079,0.0237328985571117,0.6013020616694348,0.0242257649395127,0.6230647521492593,0.029598039025967,14.40905,2.6910410713142228,882.0,0.0
moleculenet,BACE,smiles_transformer,nn08_removed,128,20,20,0.7192713493164257,0.0177018726409646,0.6418723854476558,0.0239149293332119,0.6305604107107475,0.0278336898044876,14.56195,2.7688268540123637,755.0,0.0
moleculenet,BACE,smiles_transformer,nn08_removed,256,20,20,0.725630501854001,0.0248148082510115,0.6474532814560419,0.0237626465795954,0.6320823544396955,0.0329822610281347,12.7029,1.646488533212424,755.0,0.0
moleculenet,BACE,smiles_transformer,scaffold_removed,128,20,20,0.7247520703204496,0.0182792387731351,0.6400082981165898,0.0247752654581772,0.6322369244978787,0.0278326210230587,14.420649999999998,3.118036934915941,719.0,0.0
